questions,option1,option2,option3,option4,option5,answer,explanation,type,section
20°C তাপমাত্রায় 98.66 kPa চাপে 0.842 kg একটি গ্যাস 0.4 m³ আয়তন দখল করে। গ্যাসটির আণবিক ভর কত হবে?,510.7,51.97,61.97,5.107,,2,,1,1
At a constant pressure the volume of a definite mass of a gas at 100°C is 200 cm³. The volume of that gas at the same pressure and 0°C will be—,146.384 cm³,22.4 × 10³ cm³,4.46 × 10⁻³ L,8.92 × 10⁻³ L,,1,,1,1
30°C তাপমাত্রায় 10.0 dm³ একটি সিলিন্ডারে অক্সিজেন গ্যাসের চাপ 15.50 atm হলে সিলিন্ডারে অক্সিজেন গ্যাসের ভর কত?,99.62 gm,0.06 gm,199.38 gm,187.09 gm,188.15 gm,3,,1,1
"20°C তাপমাত্রায় ও 1.5 bar চাপে একটি গ্যাস 0.1 m³ আয়তন দখল করে। যদি গ্যাসের চাপ 7.5 bar এ সংকুচিত করা হলে 0.04 m³ আয়তন দখল করে, তবে গ্যাসের শেষ তাপমাত্রা নির্ণয় কর।",293°C,313°C,586°C,213°C,None,2,,1,1
একজন লোক এক মিনিটে 0.2 L বায়ু গ্রহণ করে যার তাপমাত্রা 27°C এবং চাপ 1.0 atm। এক মিনিটে সে কতগুলো গ্যাস অণু গ্রহণ করে?,48.9 × 10²¹,4.89 × 10²¹,4.98 × 10²¹,None of these,,2,,1,1
প্রমাণ তাপমাত্রা ও চাপে নিচের কোন গ্যাসটির মোলার আয়তন সবচেয়ে বেশি?,H₂,He,Nitrogen,কোনটাই নয়,,4,,1,1
বাতাসে STP-তে CO এর ঘনমাত্রা 250 ppb হলে 5 dm³ বাতাসে CO অণুর সংখ্যা কত?,3.05 × 10¹⁹,3.057 × 10¹⁶,1.263 × 10¹⁵,1.263 × 10¹⁸,3.019 × 10¹⁴,0,,1,1
একটি 1 L ফ্লাস্ক একটি উড়ন্ত তরলের বাষ্প দ্বারা 100°C তাপমাত্রায় ও 1 atm চাপে ভর্তি করে বন্ধ করা হলো। এই তরলের ভর 23.8690 g এবং বাতাস ভর্তি ফ্লাস্কের ভর 20.0123 g হলে উক্ত তরলের আপেক্ষিক আণবিক ভর কত?,118.1049,81.7244,15644.2302,154.4854,8275.9623,4,,1,1
273 K তাপমাত্রা ও 760 mm চাপের অধীনে 2240 mL CO₂ গ্যাসের ভর কত?,44 gm,4.4 gm,88 gm,8.8 gm,,2,,1,1
288K তাপমাত্রা ও 745 mm চাপের অধীনে 0.25 g তরল যৌগ 30 cm³ আয়তনে বাষ্পে রূপান্তরিত হয়। একই শর্তে কত মোল নাইট্রোজেনের সমান পরিমাণ হবে?,1.21 × 10⁻³,0.034,13.6,27.4,2.43 × 10⁻³,5,,1,1
নির্দিষ্ট চাপে 273°C তাপমাত্রায় গ্যাসের আয়তন 1.85 × 10⁻² m³ হলে 25°C তাপমাত্রায় গ্যাসটির আয়তন কত হবে?,0.01 m³,0.02 m³,0.03 m³,0.04 m³,None,1,,1,1
নিচের কোনটি চাপের একক নয়?,Nm⁻²,atm,Litre–atm,Torr,,3,,1,1
V = K / P¹ সমীকরণ দ্বারা কোন সূত্রকে প্রকাশ করা হয়?,অ্যাভোগাড্রো সূত্র,চার্লস সূত্র,ডাল্টন সূত্র,None of the above,,4,,1,1
27°C তাপমাত্রা ও 780 mm চাপে 300 cc গ্যাসের ভর 0.5 g হলে আদর্শ অবস্থায় ওই গ্যাসের ঘনত্ব কত?,19.77 g/litre,19.77 g/litre,19.99 g/litre,19.66 g/litre,None,3,,1,1
"তিনটি গ্যাস Ar, N₂ এবং H₂ আলাদা সমান আয়তনের তিনটি পাত্রে 10 atm চাপে রাখা আছে। একই রকম ছিদ্র দিয়ে গ্যাসগুলো খালি হওয়ার সময় যথাক্রমে tₐᵣ, tₙ₂ এবং tₕ₂ হলে, সময়ের কোন সম্পর্কটি সঠিক?",tₐᵣ > tₙ₂ > tₕ₂,tₐᵣ < tₙ₂ < tₕ₂,tₐᵣ < tₙ₂ = tₕ₂,tₐᵣ = tₙ₂ = tₕ₂,,1,,1,1
H₂ গ্যাসের চেয়ে ধীরে ব্যাপণ হবে কোন গ্যাসের?,He,Ar,CO₂,All,,4,,1,1
"যখন বাষ্পকে একটি প্রেসার কুকারের সুরক্ষা ভালভের মতো একটি সূক্ষ্ম ছিদ্র দিয়ে বেরিয়ে যেতে হয়, তখন এই প্রক্রিয়াকে কী বলে?",Adiabatic,Throttling,Isothermal,Constant pressure,Leaching,2,,1,1
কোনটির ব্যাপণ হার সমান?,"N₂, C₂H₄","N₂, CO₂","HCl, H₂O","NH₃, CH₄",,1,,1,1
CH₄ ও He এর ব্যাপণ হারের অনুপাত = ?,1:4,1:2,2:1,4:1,,2,,1,1
একই চাপে ও তাপমাত্রায় কোনো পাত্রের একই ছিদ্রপথে A ও B নামক দুটি গ্যাসের নিঃসরণের হার যথাক্রমে 0.3 এবং 0.2। B গ্যাসের ঘনত্ব 14 হলে A গ্যাসের ঘনত্ব কত?,12.44,9.33,6.22,None of these,,3,,1,1
The atomic mass of H-atom is 1.0 and that of Cl-atom is 35.5. The diffusion rate of H-atom through the same orifice will be x times higher than that of Cl-atom. The value of x is—,35.5,5.96,3.55,2,,2,,1,1
²³⁸U এবং ²³⁵U আইসোটোপ দ্বারা প্রস্তুত UF₆ গ্যাসের ব্যাপণ হারের জন্য সঠিক ক্রম কোনটি?,²³⁵UF₆ > ²³⁸UF₆,²³⁸UF₆ > ²³⁵UF₆,²³⁵UF₆ = ²³⁸UF₆,None of these,,1,,1,1
"যে অবস্থায় 25 sec এ 15.0 m³ অক্সিজেন গ্যাস পরিবাহিত হয়, একই অবস্থায় 62.5 sec এ 25.0 m³ ক্লোরিন গ্যাস পরিবাহিত হলে ক্লোরিনের আপেক্ষিক ঘনত্ব কত? (অক্সিজেনের আপেক্ষিক ঘনত্ব = 16)",36.0,7.11,2.25,None of these,,1,,1,1
একই তাপমাত্রা ও চাপে কোনো পাত্রের একই ছিদ্রপথে একটি অজানা গ্যাস ও ক্লোরিনের পৃথকভাবে নিঃসরণ হার যথাক্রমে 6:7। ক্লোরিনের ঘনত্ব 36 হলে অজানা গ্যাসের আণবিক ভর কত হবে?,50,52,98,25,49,3,,1,1
"17°C তাপমাত্রায় 350 mm (Hg) চাপে 500 mL N₂, 700 mm (Hg) চাপে 700 mL O₂ এবং 760 mm (Hg) চাপে 300 mL H₂ নিয়ে তাদেরকে একটি 2.4 L খালি পাত্রে মিশানো হলো। 35°C তাপমাত্রায় এ মিশ্রণের চাপ কত হবে?",372.08 mm (Hg),595.33 mm (Hg),395.18 mm (Hg),632.28 mm (Hg),760.22 mm (Hg),3,,1,1
একটি নির্দিষ্ট তাপমাত্রায় ইথানল ও মিথানলের বাষ্পচাপ যথাক্রমে 6.0 kPa এবং 11.8 kPa। ঐ তাপমাত্রায় 40 g মিথানল ও 60 g ইথানল নিয়ে একটি আদর্শ দ্রবণ তৈরি করলে দ্রবণের মোট বাষ্পচাপ কত হবে?,5.78 kPa,8.84 kPa,3.06 kPa,6.12 kPa,11.58 kPa,2,,1,1
"A mixture is prepared by mixing 1.50 mole Toluene and 3.50 mole Benzene. If the vapor pressure of pure Benzene and Toluene are 40.55 kPa and 20.24 kPa respectively at 0°C, then the total vapor pressure of the mixing will be:",42.3 kPa,40.50 kPa,34.46 kPa,35.40 Pa,,3,,1,1
"T তাপমাত্রা ও P চাপে V আয়তনের একটি গ্যাসকে সমআয়তন অর্থাৎ V আয়তনের অপর একটি গ্যাসের সাথে মিশানো হলো, যার তাপমাত্রা ও চাপ পূর্বের মতোই যথাক্রমে T ও P। মিশ্রণের চাপ কত হবে?",P/2,P²,P,2P,4P,4,,1,1
"গরমকালে বায়ুতে 25°C এ জলীয় বাষ্পের মোল ভগ্নাংশ 0.0287 এবং বায়ুর মোট চাপ 0.977 atm হলে, বায়ুতে জলীয় বাষ্পের আংশিক চাপ কত হবে?",0.30 atm,0.948 atm,0.028 atm,0.029 atm,,3,,1,1
28 গ্রাম নাইট্রোজেন এবং 142 g ক্লোরিন গ্যাসের মিশ্রণের মোট চাপ 12 atm হলে এ মিশ্রণে নাইট্রোজেন গ্যাসের আংশিক চাপ কত?,8 atm,4 atm,6 atm,2 atm,,2,,1,1
25°C তাপমাত্রায় দুটি তরলের বাষ্পচাপ যথাক্রমে 15 kPa এবং 40 kPa। ঐ তাপমাত্রায় 1 মোল A এবং 5 মোল B এর একটি আদর্শ মিশ্রণের বাষ্পচাপের পরিমাণ নির্ধারণ কর।,83.35 kPa,83.53 kPa,35.38 kPa,35.83 kPa,None,4,,1,1
29°C তাপমাত্রায় 95 kPa চাপে 0.25 m³ নাইট্রোজেন ও 80 kPa চাপে 0.38 m³ অক্সিজেন 1 m³ আয়তনের একটি ফ্লাস্কে নেওয়া হলো। মিশ্রিত গ্যাসের চাপ কত?,40.44 kPa,49.15 kPa,54.15 kPa,58.22 kPa,,3,,1,1
"A flask of volume 0.3 m³ contains a gas ‘X’ at a pressure of 60. Another flask of volume 0.6 m³ contains a gas ‘Y’ at a pressure of 84. Flasks are connected by a stop cock. If the temperature remains constant and the stop cock is opened, percentage volume of gas ‘X’ in the mixture is—",26.31%,73.69%,40.65%,100%,,1,,1,1
25°C তাপমাত্রায় একটি গ্যাস অণুর বর্গমূল গড় বেগ (RMS) 68157.5 cm/sec হলে গ্যাস অণুর আণবিক ভর কত?,12 gm/mol,18 gm/mol,20 gm/mol,16 gm/mol,24 gm/mol,4,,1,1
গড় মূল বর্গবেগ পরম তাপমাত্রার—,বর্গের সমানুপাতিক,বর্গমূলের ব্যস্তানুপাতিক,বর্গমূলের সমানুপাতিক,বর্গের ব্যস্তানুপাতিক,,3,,1,1
স্থির তাপমাত্রায় আদর্শ গ্যাস অণুগুলোর গড় গতিশক্তি কত?,Infinity,Constant,Unstable,Zero,Variable,2,,1,1
27°C তাপমাত্রায় 32.0 g গ্যাসের অণুর গড় গতিশক্তি কত হবে?,5322.4 J,7482.6 J,4988.4 J,1558.5 J,9432.8 J,2,,1,1
1 mol গ্যাসের গতিশক্তি কত?,5/2 RT,RT,3/2 RT,2/2 RT,,3,,1,1
"According to the kinetic theory of the gas, (গ্যাসের গতিতত্ত্ব অনুযায়ী):(i) RMS speed, c = √(3RT/M) (ii) Average speed, c̄ = √(8RT/πM) (iii) Most probable speed, α = √(2RT/3M)","i, ii","ii, iii","i, iii","i, ii and iii",,1,,1,1
27°C তাপমাত্রায় নাইট্রোজেন গ্যাসের বর্গমূল গড় বেগ কত?,5020.5 ms⁻¹,4995.5 ms⁻¹,4027.5 ms⁻¹,516.95 ms⁻¹,5000.0 ms⁻¹,4,,1,1
Calculate the root mean square velocity of CO₂ molecule at 1000°C.,84985 m sec⁻¹,849.85 m sec⁻¹,753.23 m sec⁻¹,753.23 m s⁻¹,,2,,1,1
একটি গ্যাসের আণবিক ভর 32 হলে কত তাপমাত্রায় ঐ গ্যাসের বর্গমূল গড় বেগ প্রতি সেকেন্ডে 50550 cm হবে?,327.76°C,54.76°C,273°C,52.76°C,27.38°C,2,,1,1
কত তাপমাত্রায় Cl₂ এর r.m.s বেগ −91.43°C তাপমাত্রায় CO₂ এর r.m.s বেগের সমান হবে?,29.99°C,19.00°C,19.09°C,29.09°C,None,3,,1,1
নিচের কোন সমীকরণটি গ্যাসের গতিতত্ত্বের সমীকরণ থেকে উদ্ভূত?,C = √(3R/M),PV = 2/3 KT,V = √(8R/KM),PV = 1/3 mNc²,,4,,1,1
15°C তাপমাত্রায় 1.0 মোল O₂ গ্যাসের গতিশক্তি 3.6 × 10³ J হলে ‘R’ এর মান কত হবে?,8.314 J,8.791 J,160.00 J,8.333 J,8.316 J,4,,1,1
27°C তাপমাত্রায় একটি গ্যাসের বর্গমূল গড় বেগ 1304 cm s⁻¹। গ্যাসটি হলো—,O₂,CO₂,NH₃,SO₂,,2,,1,1
What is the temperature in Celsius scale at which the root mean square velocity of Cl₂ is equal to that of SO₂ gas at NTP?,39.86°,29.86°,40.86°,50.86°,,4,,1,1
কী শর্তে বাস্তব গ্যাস আদর্শ আচরণ করে?,"উচ্চ চাপ, উচ্চ তাপমাত্রা","নিম্ন চাপ, উচ্চ তাপমাত্রা","নিম্ন চাপ, নিম্ন তাপমাত্রা","উচ্চ চাপ, নিম্ন তাপমাত্রা",,2,,1,1
250 mL আয়তনের 1 mole একটি বাস্তব গ্যাসের 300 K তাপমাত্রায় চাপ কত হবে তা ভ্যান ডার ওয়ালস সমীকরণের সাহায্যে নির্ণয় কর। (a = 2.253 atm·L²·mol⁻² এবং b = 0.0428 L·mol⁻¹),130.6 atm,53.5 atm,25.7 atm,82.8 atm,96.9 atm,4,,1,1
35.5 g ক্লোরিন গ্যাসের জন্য ভ্যান ডার ওয়ালস সমীকরণ কোনটি? Ans: সঠিক উত্তর নেই,(P + a/2v²)(v − b/2) = RT,(2P + a/2v²)(2V − b) = RT,(P − a/v²)(2V − b) = RT,(P + a/4v²)(v − b/2) = RT,(P + a/2v²)(V − 2b) = 2RT,0,,1,1
কত ডিগ্রি তাপমাত্রায় 100 kPa চাপে 2.24 dm³ একটি পাত্রে 14.0 g N₂ গ্যাসের সংকোচনীয়তা গুণক 0.10 হবে?,−3.64°C,265.72°C,269.36°C,538.7°C,−273 K,2,,1,1
ভ্যান ডার ওয়ালস সমীকরণে ধ্রুবক ‘a’ যার সাথে সম্পর্কযুক্ত—,আন্তঃআণবিক আকর্ষণ,আন্তঃআণবিক বিকর্ষণ,অণুগুলোর প্রকৃত আয়তন,b ও c উভয়ই,,1,,1,1
জুল-থমসন প্রভাবের জন্য নিচের কোন উক্তিটি সঠিক?,গ্যাসের আয়তন সংকুচিত হয়,গ্যাসের তাপমাত্রা বৃদ্ধি পায়,গ্যাসের অণুগুলোর মধ্যে আকর্ষণ বৃদ্ধি পায়,গ্যাসের অণুগুলো অভ্যন্তরীণ শক্তি হতে তাপ শোষণ করে,,4,,1,1
অম্ল-ক্ষারের লুইস তত্ত্ব দিয়ে কোন বিষয়টি ব্যাখ্যা করা যাবে না?,H₂O একটি ক্ষারক,Fe²⁺ একটি অ্যাসিড,HCOOH এর চেয়ে HCl শক্তিশালী অ্যাসিড,CH₄ অ্যাসিড বা ক্ষারক কোনোটিই নয়,,3,,1,1
আরেনিয়াসের সূত্র কোন ক্ষেত্রে কার্যকর?,গ্যাসীয় অবস্থায় প্রম্লান বিক্রিয়া ব্যাখ্যা করার ক্ষেত্রে,অ্যামিনের ক্ষারত্ব ব্যাখ্যায়,লবণের অম্লত্ব ব্যাখ্যা করার জন্য,"Ka, Kb ব্যাখ্যা করার জন্য",,4,,1,1
In which reaction is the underlined substance acting as a base?,HNO₃ + H₂SO₄ → H₂NO₃⁺ + HSO₄⁻,HSiO₃⁻ + HCN → CN⁻ + H₂O + SiO₂,HNO₂ + HCO₃⁻ → H₂O + CO₂ + NO₂⁻,C₆H₅O⁻ + CH₂ClCO₂H → C₆H₅OH + CH₂ClCO₂⁻,,3,,1,1
নিচের কোন যৌগটি লুইস অ্যাসিড নয়?,BF₃,AlCl₃,BaCl₂,BeCl₂,,3,,1,1
যে প্রম্লান বিক্রিয়াটিতে আরেনিয়াসের সূত্র অনুসৃত হয়েছে তা হল—,NH₃(g) + HCl(g) → NH₄Cl(g),CaO(s) + CO₂(g) → CaCO₃(s),NH₄OH(aq) + HCl(aq) → NH₄Cl(aq) + H₂O(l),FeO(s) + HCl(aq) → FeCl₂(aq) + H₂O(l),,3,,1,1
কোন জোড়া অ্যাসিডের তীব্রতার ক্রম ভুল?,CH₃COOH > CH₃CH₂COOH,H₂SO₃ > H₂CO₃,ClCH₂COOH > CH₃COOH,HClO₄ > HNO₃,HF > HCl,5,,1,1
নিচেরগুলোর মধ্যে কোনটি ভিন্ন শনাক্ত কর।,²⁺,³⁺,⁺,⁺,None,2,,1,1
কোন জলাশয় থেকে সংগ্রহীত পানির 1.0 L আয়তনের একটি নমুনায় দ্রবীভূত অক্সিজেনের পরিমাণ নির্ণয়ের উদ্দেশ্যে নমুনার 100 mL নিয়ে তাতে কিছু আয়োডাইড লবণ যোগ করার পর বিশুদ্ধ আয়োডিনকে টাইট্রেট করতে 0.0114 M মাত্রার 7.5 mL Na₂S₂O₃ দ্রবণ প্রয়োজন হলে পানির DO কত?,0.855,1.71,3.41,6.84,,4,,1,1
জলজ প্রাণীর বেঁচে থাকার জন্য DO এর সীমা কোনটি?,6–10,5–6,4–6,7–8,,2,,1,1
EDTA পদ্ধতিতে পানির কঠোরতা নির্ধারণের সময় দ্রবণের pH কত রাখতে হবে?,10.00,7.00,14.00,12.00,4.00,1,,1,1
WHO কর্তৃক পানীয় পানিতে অনুমোদিত BOD এর মান কত?,6 ppm,2 ppm,4 ppm,5 ppm,9 ppm,1,,1,1
"Winkler method এ Mn(OH)₂, KI এর উপস্থিতিতে (O₂) Dissolved Oxygen এর সাথে বিক্রিয়ায় কী উৎপন্ন করে?",MnO(OH)₂,MnO(OH),MnSO₄,CaCO₃,,1,,1,1
WHO কর্তৃক অনুমোদিত TDS এর মাত্রা কত?,10 ppm,5 ppm,500 ppm,100 ppm,,3,,1,1
CaCO₃ কে প্রশমিত করতে 1 mL 0.001M HCl লাগলে ppm এককে কঠোরতা কত?,3650,36.5,365,3.65,,2,,1,1
EDTA প্রয়োগে pH কত রাখতে হয়?,7,8,9,10,,4,,1,1
"বিশ্ব স্বাস্থ্য সংস্থা অনুমোদিত পানির গ্রহণযোগ্য মানদণ্ড— pH, DO, BOD, COD, TDS এর সর্বোচ্চ মাত্রা কোনটি?","5.0–6.0, 6.5–8.5 ppm, 6.0 ppm, 500 ppm, 10.0 ppm","6.5–8.5, 5.0–6.0 ppm, 6.0 ppm, 10.0 ppm, 500 ppm","6.5–8.5, 5.0–6.0 ppm, 10.0 ppm, 6.0 ppm, 500 ppm","5.0–6.0, 6.5–8.5 ppm, 6.0 ppm, 10.0 ppm, 500 ppm",None of them,2,,1,1
একটি লেক থেকে 1000 mL ময়লা পানি সংগ্রহ করে তার COD নির্ণয়ের জন্য DO পরিমাপ করতে গিয়ে দেখা গেল 50 mL নমুনা পানির জন্য 0.015 N Na₂S₂O₃ দ্রবণের 10 mL লেগেছে। ঐ নমুনা পানিতে H₂SO₄ ও K₂Cr₂O₇ যোগ করার 3 ঘণ্টা পর পুনরায় DO নির্ণয় করতে গিয়ে দেখা গেল ঐ 50 mL পানির জন্য 0.015 N Na₂S₂O₃ দ্রবণের 3.5 mL লেগেছে। ঐ নমুনা পানির COD গণনা কর।,15.6 ppm,17.6 ppm,19.6 ppm,21.6 ppm,23.6 ppm,1,,1,1
Temporary hardness of water is caused due to presence of which compounds in water?,CaCO₃,CaCl₂ & MgCl₂,Ca(HCO₃)₂ & Mg(HCO₃)₂,Na₂CO₃,,3,,1,1
নিম্নে উল্লেখিত আর্সেনিক যৌগ সমূহের পানিতে দ্রবীভূত অবস্থায় মানুষের স্বাস্থ্যের উপর বিষক্রিয়ার উচ্চ থেকে নিম্ন ক্রমটি হলো-,As₂O₃ > AsH₃ > AsO₂⁻ > AsO₄³⁻,AsH₃ > AsO₂⁻ > As₂O₃ > AsO₄³⁻,AsH₃ > As₂O₃ > AsO₂⁻ > AsO₄³⁻,AsO₄³⁻ > As₂O₃ > AsO₂⁻ > AsH₃,AsO₃³⁻ > AsO₄³⁻ > AsH₃,2,,1,1
গ্রিন হাউজ গ্যাসগুলোর সঠিক শতকরা হার নিচের কোনটি?,"CO₂: 49%, CFC: 14%, CH₄: 18%, N₂O: 6%, Others: 13%","CO₂: 50%, CFC: 13%, CH₄: 20%, N₂O: 8%, Others: 9%","CO₂: 60%, CFC: 3%, CH₄: 10%, N₂O: 18%, Others: 9%",None of these,,1,,1,1
কোন প্রক্রিয়ায় একই মৌলের বিভিন্ন আইসোটোপকে পৃথকীকরণ করা হয়?,নিঃসরণ,ব্যাপন,কোলয়ন,পাতন,,2,,1,1
327°C তাপমাত্রায় O₂ গ্যাসের অণুগুলোর গড়বেগ কত?,19.92 ms⁻¹,630.12 ms⁻¹,683.85 ms⁻¹,21.62 ms⁻¹,,2,,1,1
"STP তে একটি গ্যাসের ঘনত্ব 1.25 gL⁻¹, 27°C তাপমাত্রায় এবং 700 mm(Hg) চাপে গ্যাসটির অণুগুলোর বর্গমূল গড় বেগ কত?",77.37 ms⁻¹,2446.64 ms⁻¹,516.9 ms⁻¹,462.95 ms⁻¹,,3,,1,1
"সাতটি মার্বেলের বেগ হল 8ms⁻¹, 21 ms⁻¹, 11ms⁻¹, 4 ms⁻¹, 5ms⁻¹, 7 ms⁻¹, 2ms⁻¹। মার্বেলগুলোর বর্গমূল গড় বেগ কত?",3.83 ms⁻¹,10.826 ms⁻¹,8.29 ms⁻¹,10.14 ms⁻¹,,4,,1,1
20°C তাপমাত্রায় 80 kPa চাপে একটি নির্দিষ্ট পরিমাণ গ্যাসের আয়তন 0.25 m³। 20°C তাপমাত্রায় উক্ত গ্যাসের আয়তন 0.3 m³ হলে চাপ কত হবে?,66.67 Nm⁻²,667 kPa,66.67 kPa,66.67 atm,,3,,1,1
আদর্শ তাপমাত্রা ও চাপে কোন গ্যাসের ঘনত্ব 22 kgm⁻³। চাপ স্থির রেখে তাপমাত্রা 11°C হ্রাস করলে গ্যাসটির ঘনত্ব কত হবে?,21.11 kgm⁻³,22.63 kgm⁻³,22.92 kgm⁻³,কোনোটিই নয়,,3,,1,1
27°C তাপমাত্রায় 320 atm চাপে 1 টি পাত্রে O₂ গ্যাস আছে। এই গ্যাসের চাপ 10% বাড়াতে পাত্রটিকে কত তাপমাত্রায় রাখতে হবে?,57°C,29.7°C,1.86°C,18.6°C,,1,,1,1
কোনটি লুইস ক্ষারক?,PH₃,Ag⁺,F⁻,a ও c উভয়ই,,4,,1,1
"27°C তাপমাত্রায় 18g O₂, 4L স্থানে ধারণ করলে চাপ কত?",350.38 atm,3.46 kPa,3.46 atm,350.83 Pa,,3,,1,1
আরেনিয়াস মতবাদের সীমাবদ্ধতা কোনটি?,সঠিকভাবে অম্ল ক্ষার নির্ধারণ করা যায় না,বিচ্ছেদ ধ্রুবকের মান অনেক বেশি আসে,জৈবীয় দ্রাবকে কার্যকরী নয়,ইলেকট্রোলাইটিক মতবাদ নয়,,3,,1,1
H₃O⁺ এর অনুরূপ ক্ষারক কোনটি?,H₂O,OH⁻,উভয়ই,কোনোটিই নয়,,1,,1,1
কোনটি সবচেয়ে দুর্বল এসিড?,HIO,CH₃COOH,সাকসিনিক এসিড,H₂SO₄,,1,,1,1
